sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
125,0,6,0.33173742357809644,0.34233232722950274,0.3371770270289003,0.28679244742506826,0.69,0.8746432780698647,-0.5952219330359344,-0.7161181358836397
150,5,2,0.3310647118338501,0.3248774261299017,0.35292798937907377,0.2524652237075906,0.68,0.8719689151441804,-0.49597491323578174,-0.5516583177965697
100,3,6,0.33083120124344756,0.31732274079430417,0.3373798881315382,0.27375773272992965,0.62,0.835225855475126,-0.5648373918848546,-0.60047073744348
125,5,3,0.3295929436784536,0.3195362864826864,0.34079294205596944,0.25680967482775907,0.66,0.8563260569203222,-0.4983559510268055,-0.5519763129930388
150,2,0,0.3287742314949199,0.3190739242068432,0.34028896446211854,0.25016967498553755,0.61,0.8570312137376093,-0.4654104501913266,-0.5320982412840863
150,2,1,0.32870078236261935,0.31638940812024774,0.3392536317923973,0.2550443666720088,0.63,0.8420084815548775,-0.4936100819392507,-0.5320982412840864
250,4,0,0.3269749927617816,0.3089196633132452,0.32919242967961293,0.2610579345218833,0.62,0.8660174928495933,-0.4945667555024115,-0.5923368091564427
225,4,1,0.3256576382527708,0.29973486195271226,0.3189983907772447,0.257044933958422,0.56,0.8391930239712585,-0.47468625222482463,-0.5320982412840864
225,6,1,0.3256329224415849,0.2950177308013672,0.30559180947535225,0.26161253282752495,0.52,0.8356725478800193,-0.4715060283692187,-0.5320982412840862
100,8,8,0.32443654882544065,0.30099850888646684,0.298783748873952,0.25518503712738716,0.48,0.8419835718480929,-0.44465973247842866,-0.49322318258265674
200,1,5,0.32367407317070035,0.3261459781839415,0.3421838170493223,0.27111807459007586,0.65,0.8514239864444135,-0.571551694971631,-0.667360529055957
200,1,6,0.3229853677388532,0.32211239656687146,0.33003073402348315,0.27111807459007586,0.65,0.8464535805098669,-0.5690615606156567,-0.6307236292635234
125,7,3,0.3226399537753271,0.29597257386679704,0.315008638694803,0.2565929961443336,0.58,0.8363715756236297,-0.4770580397841577,-0.5386882718797901
225,7,0,0.3217375795601063,0.29408576086156246,0.3105238351193502,0.2546028965319125,0.52,0.8370013660820196,-0.46082453684776437,-0.5320982412840864
125,0,2,0.31988534357803516,0.3199671653144928,0.34334396505440634,0.25269008803613735,0.66,0.8328755931235231,-0.5117820722182337,-0.5819133101083821
150,5,4,0.31824402674870567,0.3224022892372123,0.3394531893581514,0.2505923662032401,0.66,0.8564944694053497,-0.5034153215432965,-0.5926667469711986
250,6,0,0.31785815988527305,0.2973769210255071,0.32301446849035753,0.24623658394848413,0.57,0.8481393973420512,-0.46729013078159765,-0.5320982412840863
150,1,6,0.31762070035583884,0.3313168864790847,0.3247934464075166,0.27176011842118797,0.62,0.8607542282276632,-0.5905455283882728,-0.6581199915960028
125,6,3,0.3168012515857922,0.2993373095539523,0.3209569293205614,0.24586557639810191,0.56,0.826709203217192,-0.48030763938057414,-0.49899069606212676
150,8,1,0.31589411478206875,0.2853616979891342,0.29573928899214685,0.25021341304932454,0.49,0.8322926082291678,-0.4403236387211758,-0.5157262142629947
